Impf,CubEOT,Em2011,Sw2010
scenario,historical,historical,historical
metric,AAI_agg,AAI_agg,AAI_agg
CanESM5,0.0007325023376169437,0.005265605416673327,0.20550962879195833
CNRM-CM6-1,0.006067004955520613,0.04193304466006092,1.920069458500478
CNRM-ESM2-1,0.00504736838280089,0.03610317521425322,1.6978774687758191
EC-Earth3-Veg,0.003620028131455902,0.036388638880528984,1.3197574857259295
EC-Earth3-Veg-LR,0.0032616074881365027,0.033777642157124664,1.345788360240228
IPSL-CM6A-LR,0.0008421107009625796,0.01368006428506577,0.4440533445726892
MIROC-ES2L,0.0007901164825060542,0.005181436957471371,0.15466188016861898
UKESM1-0-LL,0.001903206948305798,0.17803621872893455,9.138458390762944
MRI-ESM2-0,0.0025993443363939023,0.019373026767648294,0.4685675110100241
FGOALS-g3,0.003261031831740633,0.036398293440548915,1.6685059390249923
ACCESS-ESM1-5,0.0031351285444492128,0.22514014194682933,11.702058565557817
MIROC6,0.002663034791108642,0.2607490840955087,10.67208566491798
MPI-ESM1-2-LR,0.002722909297295706,0.005948201418736235,0.21463665212453892
KACE-1-0-G,0.001715718271172279,0.1492071257274406,7.3827137114629044
